method,ate,ate_pct,ci_low,ci_high,se,p_value,cohort,outcome,n,n_treated,n_control,outcome_rate,diag_ps_overlap_frac,diag_ps_min,diag_ps_max,diag_frac_clipped,diag_max_smd_raw,diag_mean_smd_raw,diag_max_smd_weighted,diag_mean_smd_weighted,diag_ess,diag_ess_frac,intervention,equipoise_def,counterfactual_risk_treated,counterfactual_risk_control,risk_ratio,e_value,e_value_ci
ato,0.16503019905053,16.503019905053,0.13649196588635928,0.19356843221470074,0.014560590597213357,8.901082546365036e-30,equipoise,mortality_in_hospital,13039,1106,11933,0.105069407163126,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
unadjusted,0.18692537251007701,18.6925372510077,0.15867012849982465,0.21518061652032938,0.014416205722720475,1.8989181991775305e-38,equipoise,mortality_28d,13039,1106,11933,0.15261906587928523,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
iptw,0.15696541358508798,15.696541358508798,0.12551349920051008,0.18841732796966587,0.016047189965053745,1.3520645860358287e-22,equipoise,mortality_28d,13039,1106,11933,0.15261906587928523,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
aipw,0.12246515348982903,12.246515348982904,0.0932474201892384,0.15168288679041966,0.014907280710796927,2.1194584988481031e-16,equipoise,mortality_28d,13039,1106,11933,0.15261906587928523,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,0.2636096244109879,0.14114447092115887,1.8676581710256024,3.1406424100376555,2.7080842967749343
att,0.1352777971600447,13.52777971600447,0.10644033396891149,0.1641152603511779,0.01471326178368554,3.7752651454632585e-20,equipoise,mortality_28d,13039,1106,11933,0.15261906587928523,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,0.18841117209854474,,,
ato,0.13631734457874561,13.631734457874561,0.10693278416376185,0.16570190499372936,0.014992398149540207,9.684898788501416e-20,equipoise,mortality_28d,13039,1106,11933,0.15261906587928523,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
unadjusted,0.18399589086080223,18.399589086080223,0.1543831117068673,0.21360867001473716,0.015108838421275472,4.0699285778663115e-34,equipoise,mortality_90d,13039,1106,11933,0.21949536007362527,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
iptw,0.15029205052438527,15.029205052438527,0.11699156474849282,0.18359253630027772,0.016990355964988352,9.093432356266917e-19,equipoise,mortality_90d,13039,1106,11933,0.21949536007362527,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
aipw,0.10904131697715762,10.904131697715762,0.0784568975254993,0.13962573642881593,0.015604582376464221,2.792789811579431e-12,equipoise,mortality_90d,13039,1106,11933,0.21949536007362527,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,0.31782107148722044,0.20877975451006284,1.5222791703776146,2.4139375703200723,2.094818027188933
att,0.12632982002105844,12.632982002105845,0.0969428247157422,0.15571681532637469,0.014993640463353981,3.5902839898419727e-17,equipoise,mortality_90d,13039,1106,11933,0.21949536007362527,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,0.26155444761004465,,,
